clase,probclase1,probclase2,probclase3,Country,L1Name,L2Namev2,BECTUAREAL2,BECCVPTCHAREAL2,BECAWMNSHPINDXL2,BECAWMNNNGHL2,BECEFFMESHSIZEL2,BECAWEDGDENSL2,BECPOPDENSADJL2,BECPRSBRTL2,BECPRSSUBWAYL2,BECADCRCTYAVGL2,BECADINTDENSL2,BECADSTTDENSL2,BECURBTRVDELAYINDEXL2
2,1.30E-10,1,0.00000,Brasil,Belo Horizonte,Sabará,1255.4976,446.88,3.1087,89.4177,5.5829,0.465643104,3026.482,0,0,1.140521827,6.670175885,1986.333478,0.040892796
2,2.22E-09,0.997085439,0.00291,Brasil,Belo Horizonte,Santa Luzia,2793.882,817.3562,4.2997,78.2561,91.8097,1.363522109,4094.716,0,0,1.0915844,14.56345274,3254.694257,0.056593792
2,1.87E-06,0.99334097,0.00666,Brasil,Belo Horizonte,Sao Joaquim de Bicas,469.5284,684.7059,4.3534,91.2492,12.1936,1.453069055,969.6646,0,0,1.063445408,19.99281693,5068.931823,0.006488502
2,4.88E-10,0.999747834,0.00025,Brasil,Belo Horizonte,Sao Jose de Lapa,479.7045,466.3592,3.5586,69.2843,11.0329,1.919014677,1106.959,0,0,1.071503878,11.58176806,3284.460011,0.010649101
2,2.07E-10,0.999960763,0.00004,Brasil,Belo Horizonte,Sarzedo,516.24,423.5135,3.847,77.169,9.0272,1.994987219,1238.634,0,0,1.086467135,12.80931665,3070.682015,0.019758255
3,7.57E-07,2.88E-12,1.00000,Brasil,Belo Horizonte,Vespasiano,1680.21,709.97,3.7953,66.5517,145.5513,4.488672999,3188.497,0,0,1.081268869,26.24566527,6136.525444,0.016006072
2,1.09E-10,1,0.00000,Brasil,Bento Goncalves,Bento Goncalves,1852.2846,913.8148,3.799,82.6391,35.9973,1.027838478,2515.315,0,0,1.19170371,6.073355701,2179.74696,0.109899065
2,2.63E-12,1,0.00000,Brasil,Bento Goncalves,Carlos Barbosa,523.9832,703.9028,4.3763,86.5658,5.8412,1.235780519,1298.853,0,0,1.19128394,3.433972328,1784.547587,0.012660653
2,9.38E-12,1,0.00000,Brasil,Bento Goncalves,Garibaldi,845.5545,876.3873,3.6991,88.9654,21.4909,1.7932746,1360.292,0,0,1.139411106,5.705572925,1972.355827,0.029696247
2,2.25E-11,0.999995797,0.00000,Brasil,Birigui,Birigui,2166.2067,1007.1228,3.7869,77.9661,61.6214,0.934914913,3182.004,0,0,1.018083989,6.732177448,1411.390852,0.021614614
3,9.79E-23,8.76E-53,1.00000,Brasil,Blumenau,Blumenau,7884.72,1788.5167,8.8932,65.1808,545.875,1.699804458,2355.484,1,0,1.097259936,11.80068343,2979.437727,0.171218572
2,5.59E-13,1,0.00000,Brasil,Blumenau,Gaspar,1467.8136,739.4311,4.368,97.1471,9.0186,0.469346969,785.3991,0,0,1.113554063,3.337507439,1422.87976,0.090309616
