screen_name,created_since,favourites_count,followers_count,friends_count,listed_count,statuses_count
jfcali,2859,677,131,594,1,671
racar69,881,667,11,50,0,34
neal_at,754,4166,383,351,11,719
OrgYoga,169,0,42,728,0,7
mgoscar,3339,242,53,503,1,272
GuijonGustavo,601,530,61,225,0,782
CongresoVisible,3452,4317,21105,2710,426,35512
jufemun,2454,2527,149935,624,95,7039
luchoecheverri,1508,25670,645,4242,4,9611
joseraulm,3481,6,13,28,1,20
maciassoyrock,2479,49,10,128,0,122
ijcgajournal433,854,0,26,632,0,187
jpnoriegah,3694,278,479,441,12,673
MFAN_SX,457,20,2,30,0,16
habamadrina,2903,3175,1118,1672,63,12149
So_Cogny,1196,448,83,373,3,152
jcplatac,3603,376,378,1564,15,1687
dataillustrator,559,29,1018,77,41,33
mlguttierrez,1432,1961,145,343,1,1017
juansefm,3232,1086,830,2176,5,1775
achavito,2895,18360,1035,938,23,33494
Joan_Correa_R,2546,2294,72,350,1,639
JairBustamanteM,2563,4113,224,1319,3,849
anferchez90,2025,314,180,1345,4,2498
Raquelie_Sa,3026,4497,527,594,3,2093
lagosest,3401,557,590,1314,0,3323
AFonsecaGalvis,1813,3247,505,1165,8,749
alipios,3312,21800,697,1458,15,8977
_adrilu7,3074,1091,227,2106,0,709
pedropmorcillo,3196,757,383,843,7,1450
elikesprogramm1,139,15,0,20,0,21
santiagoconde7,2217,10,4,42,2,8
juanve98,2838,40,89,409,0,52
aJohnGuerra,3530,0,162,1904,3,219
oscar_marriaga,2559,16,78,120,0,181
crixolo,1447,9,15,393,0,0
trevmanz,3492,591,236,498,0,101
mooseabyte,2940,6475,1335,2144,61,6986
Dv_Zamora,2306,171,50,426,0,90
DiegoBaco23,3038,665,922,1200,21,9608
Osorious,3318,23491,2279,4380,54,46946
javibarrIus,3226,3387,114,475,1,7885
mpirateque,3140,8934,656,2001,17,14648
drchristianbern,3093,85,174,122,0,1025
EDWARDGOYENECHE,3162,9303,299,357,6,5598
dimibaro,2590,79,36,122,1,33
ojofranco,3493,197,101,177,0,474
JustinGosses,919,2344,366,868,23,1177
yureimacv,3459,102,14,85,0,267
fanofactor,2369,252,51,682,5,547
GutierrezSagit,238,84,13,93,0,9
CifuentesAura,2833,2347,1239,1349,131,4449
vamos_alcazar,3545,1108,193,1302,5,507
VivianGomezCb,184,10,3,9,0,29
angiemvelezp,2578,29,43,203,0,22
kyotastorm,187,37,5,41,0,39
YangYangQian,2106,53,2,140,0,0
PazosCaro,1987,2,2,16,0,0
_Huumbug,3141,10795,438,872,3,4023
popcornducore,3220,4726,476,576,6,31010
leoguti85,3882,236,116,414,5,228
ANDRESVEGA925,3064,6,60,246,0,443
hektor_cl,3269,679,187,474,1,130
Ganjagui_San,861,76,28,220,0,20
estarguars113,1920,2619,130,524,2,482
CoolBarnacle,694,1649,71,651,3,198
edalfon_,1756,7,8,24,0,2
comparativamel,219,2,6,78,0,13
RAFAJARDO,3372,565,884,2706,25,19865
GuidoHero,3411,107,632,1164,8,2576
JUANDARAMILLO,331,1181,149,1425,3,1645
annettegreiner,3188,28,104,91,8,303
hectorchiao,2658,555,25,170,0,18
acastroaraujo,3201,7292,339,600,3,5659
Colcheck,1092,1165,14208,5642,130,15533
EGEColombia,167,1,12,162,0,1
dnarvaez27,3382,544,128,767,1,275
mneira011,1719,168,13,271,0,30
jpvg10,3312,2555,36,141,0,556
clegrillo,2839,32,82,341,1,190
johanastar1,3238,641,85,221,2,410
gonzalezluque10,756,581,22,109,0,204
linaramirez0604,1993,570,41,311,0,116
cespinosa10,3504,659,245,1485,4,1201
JGarcia_Estevez,2459,2590,618,593,3,693
marisbotero,1101,1084,459,864,26,760
jarapha,2874,4,36,103,0,217
ingecobog,2746,3365,372,768,5,6647
AtiQuinones,2237,31,105,346,0,214
NiaOrozco,3570,9441,1155,1252,9,12756
jarturop,3266,114,84,177,1,96
SebastianRubio,3647,5566,1084,1531,59,3927
kevin_hanna_,3385,1,27,98,7,78
narinotic,905,3072,1208,409,13,2940
marisamagar,3317,4744,1106,1512,74,8303
JUANLOZADAG,1100,568,228,726,0,355
daviddiazrincon,2742,876,67,537,0,441
armandorp10,2637,36,164,165,1,190
NataliaArenas1,2695,20,236,1011,5,107
1aquintanab2,1611,16574,175,440,26,17872
bramaz3,2348,3859,111,1406,0,1906
jairo_bastidas,2883,384,167,739,0,1260
JuanSRamirezD,1706,830,137,543,2,1358
angelicamabg,2924,748,96,261,1,349
Azahares07,581,2387,66,416,0,405
andrea_rojasa,2889,3111,123,533,1,1059
erreconese,2569,135,89,763,0,503
marcastl,3308,2045,140,941,3,2197
Maria_Isabel_AZ,523,17,0,48,0,0
uvva,3568,1714,464,138,5,6926
S_BenavidesC,2855,3444,453,1070,2,1638
JuanCamiloUR16,974,13,3,19,0,33
Ms_ZulmaC,2581,121,23,109,0,119
CarbonariRosina,348,7334,97,446,0,3755
juancprzs,3439,126,24,578,0,7
inguniandes,1979,2373,8626,767,56,7272
quiroga2020,582,173,164,628,2,579
umutaliozbay,1707,107,54,648,0,62
catalinalozan11,2273,1,10,93,0,3
_Vouto,175,24,6,373,0,1
NELSONMIGUEL8A,2833,31,24,243,0,254
Gabrielpab,3404,5912,1560,472,6,5907
ramonlaborde,3432,284,499,1899,3,684
